"","Make","Model.Group"
"1","ACURA","TLX"
"2","ACURA","ILX"
"3","ACURA","RDX"
"4","ACURA","RDX ADVANC"
"5","ACURA","MDX"
"6","AUDI","A6"
"7","AUDI","A3"
"8","AUDI","Q3 PRESTIG"
"9","AUDI","Q3 PREMIUM"
"10","AUDI","Q7 PREMIUM"
"11","AUDI","A4"
"12","BMW","428 I"
"13","BMW","Z4"
"14","BMW","X5 SDRIVE3"
"15","BMW","535 I"
"16","BMW","6 SERIES"
"17","BMW","M6"
"18","BMW","5 SERIES"
"19","BMW","X3"
"20","BMW","X5 XDRIVE5"
"21","BMW","3 SERIES"
"22","BMW","X5 XDRIVE3"
"23","BMW","550 I"
"24","BMW","428 XI"
"25","BMW","M4"
"26","BMW","X1 XDRIVE2"
"27","BMW","X6"
"28","BMW","2 SERIES"
"29","BMW","4 SERIES"
"30","HONDA","CR-V LX"
"31","HONDA","CIVIC"
"32","HONDA","PILOT EXL"
"33","HONDA","CR-V EXL"
"34","HONDA","CIVIC LX"
"35","HONDA","HR-V EXL"
"36","HONDA","ACCORD SPO"
"37","HONDA","CR-V EX"
"38","HONDA","ODYSSEY SE"
"39","HONDA","ACCORD EXL"
"40","HONDA","CR-V SE"
"41","HONDA","ACCORD LX"
"42","HONDA","PILOT TOUR"
"43","HONDA","ACCORD EX"
"44","HONDA","HR-V EX"
"45","HONDA","ODYSSEY EX"
"46","HONDA","ODYSSEY LX"
"47","HONDA","CIVIC EXL"
"48","HONDA","HR-V LX"
"49","HONDA","ODYSSEY TO"
"50","HONDA","CR-V TOURI"
"51","HONDA","PILOT EX"
"52","HONDA","PILOT LX"
"53","HONDA","ACCORD"
"54","LEXUS","ES350"
"55","LEXUS","NX 200T"
"56","LEXUS","IS"
"57","LEXUS","GX"
"58","LEXUS","RX 350"
"59","LEXUS","GS200"
"60","LEXUS","LX 570"
"61","MAZDA","3"
"62","MAZDA","6"
"63","MAZDA","CX-5 TOURI"
"64","MAZDA","CX-5 GT"
"65","MERCEDES-BENZ","S CLASS"
"66","MERCEDES-BENZ","S MERCEDES"
"67","MERCEDES-BENZ","C CLASS"
"68","MERCEDES-BENZ","GLC 300 4M"
"69","MERCEDES-BENZ","GLE 350 4M"
"70","MERCEDES-BENZ","GLC 300"
"71","MERCEDES-BENZ","GLE 350"
"72","MERCEDES-BENZ","GLE COUPE"
"73","MERCEDES-BENZ","E CLASS"
"74","MERCEDES-BENZ","GLA 250"
"75","MERCEDES-BENZ","GLS 450 4M"
"76","MERCEDES-BENZ","GLS 550 4M"
"77","NISSAN","ALTIMA"
"78","NISSAN","MAXIMA"
"79","NISSAN","SENTRA"
"80","NISSAN","VERSA"
"81","NISSAN","JUKE S"
"82","NISSAN","MURANO S"
"83","NISSAN","ROGUE S"
"84","NISSAN","PATHFINDER"
"85","NISSAN","FRONTIER S"
"86","NISSAN","QUEST S"
"87","NISSAN","370Z"
"88","NISSAN","GTR"
"89","PORSCHE","CAYENNE"
"90","PORSCHE","911"
"91","PORSCHE","PANAMERA"
"92","TOYOTA","COROLLA"
"93","TOYOTA","CAMRY"
"94","TOYOTA","SCION"
"95","TOYOTA","SIENNA XLE"
"96","TOYOTA","4RUNNER SR"
"97","TOYOTA","RAV4 LIMIT"
"98","TOYOTA","HIGHLANDER"
"99","TOYOTA","RAV4 LE"
"100","TOYOTA","SIENNA LE"
"101","TOYOTA","SIENNA SE"
"102","TOYOTA","RAV4 XLE"
"103","TOYOTA","AVALON"
"104","TOYOTA","RAV4 SE"
"105","TOYOTA","86 BASE"
"106","TOYOTA","TACOMA ACC"
"107","TOYOTA","YARIS"
"108","VOLKSWAGEN","JETTA"
"109","VOLKSWAGEN","TIGUAN S"
"110","VOLKSWAGEN","PASSAT"
"111","VOLKSWAGEN","TIGUAN COM"
"112","VOLKSWAGEN","TIGUAN WOL"
